cx,cy,r,stroke-width,stroke,fill,label
892.5950492802867,261.631410762719,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
829.275743031077,266.3202319701857,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
833.87281520797,183.77070073642736,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
846.4386701985516,284.44876430550875,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
989.070249605002,264.4847072180201,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
965.8769690352899,255.92834264285588,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
747.8169001371758,270.4598854192452,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
864.5545448360175,269.4474593583564,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
606.3475015266401,174.21864049095328,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
984.643985284647,236.49590367808406,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
764.1385985379052,287.83106419004355,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
901.1801114904476,250.2514537022069,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
582.6454096429982,193.09558965978195,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
891.890664327026,284.3630676820136,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
937.4750210221997,230.29137865078937,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
638.564031491674,159.41124630468047,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
715.9826823266492,144.66955121177028,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
811.4288690418941,308.3099980778617,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
766.9616377100215,186.76723292147284,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
784.5579889433151,278.1856794534938,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
970.2886445894146,281.3318829899622,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
943.2850423710003,210.54802963244225,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
672.7563104669938,229.9901789952135,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
688.4470670284933,180.59360663128624,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
625.8799613318557,241.04341427617413,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
688.6182546627917,185.17004517503813,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1037.8435453967788,321.6898866268178,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1052.0813443245484,298.63717536612137,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
871.7206454452219,185.2042026112319,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
920.7069713845456,251.26685425639783,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
705.9640513128294,336.8363813023022,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
948.2167135258456,324.7219687811885,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1076.658520192836,324.6869287394549,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
937.4619146737238,297.29596179420804,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
650.5583837417654,187.62028131275605,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1040.8983169411804,322.97578647151,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
988.691782291143,303.4391653814263,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
824.7644143728118,350.14217799597645,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
697.8162492784735,224.50904062783133,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
967.4517601838212,262.90778576346145,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
939.8420964299364,319.1909931278798,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
1017.907429871431,234.79866404395034,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
977.2098470916466,294.8580175133043,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
808.2607069544988,303.40981357974414,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
724.1406116555221,145.62068609293732,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
667.6500781716311,229.45667957066394,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
649.289060394917,242.22081107825426,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
985.1465966549488,297.2055766730074,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
464.408123434311,250.4438951377249,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
968.1960501424692,212.81034230182846,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
699.2845029794713,177.97473415566168,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
656.3332697689455,256.3088446181572,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
703.0199117786539,264.2003386809946,2.5,0.5,"rgb(200,200,200)","rgb(230,0,0)",0
